energy level,average power,variation of power,target level,infer level,judge
5.42296,12.664372,5.838392203,0,0,true
4.28593,9.416198,4.795170453,0,0,true
2.54323,6.776844,4.012197291,0,0,true
1.25819,4.524702,3.021362496,0,0,true
0.184185,2.738899,2.142127301,0,0,true
0.00192653,1.654692306,1.78634764,0,0,true
0.317288,0.860963906,1.058225658,0,0,true
1.07401,0.567119906,0.561919504,0,0,true
2.55101,0.825683906,1.047255871,0,0,true
4.47991,1.684828906,1.846495077,0,0,true
7.3923,3.1629036,2.848583778,0,0,true
8.6195,4.823346,3.176054528,0,0,true
11.9222,6.992984,3.645162955,0,0,true
14.1017,9.303122,3.78377702,0,0,true
17.899,11.98694,4.23908078,0,0,true
20.9264,14.69376,4.848919448,0,0,true
24.2143,17.81272,4.978769155,0,0,true
26.8249,20.79326,5.03129303,0,0,true
29.0938,23.79168,4.483999743,0,0,true
31.9765,26.60718,4.273681504,0,0,true
30.0485,28.4316,2.999428889,0,0,true
36.5117,30.89108,3.64840657,0,0,true
37.0441,32.93492,3.663431029,0,0,true
37.0441,34.52498,3.285293404,0,0,true
37.0441,35.5385,3.077649766,0,0,true
37.0441,36.93762,0.238096518,0,0,true
35.9832,36.83192,0.474448903,0,0,true
33.9361,36.21032,1.35177914,0,0,true
30.9914,34.99978,2.575079066,0,0,true
28.6483,33.32062,3.485265097,0,0,true
25.0615,30.9241,4.307566323,0,0,true
22.9591,28.31928,4.419892717,0,0,true
20.1529,25.56264,4.338420838,0,0,true
16.8222,22.7288,4.529298842,0,0,true
13.468,19.69274,4.655422289,0,0,true
10.4864,16.77772,5.003454582,0,0,true
7.6329,13.71248,4.964323314,0,0,true
5.43432,10.768764,4.535957111,0,0,true
3.44349,8.093022,3.984884037,0,0,true
1.67656,5.734734,3.463747529,0,0,true
0.82284,3.802022,2.777664591,0,0,true
0.0173387,2.27890974,2.1743119,0,0,true
0.150322,1.22211014,1.405406867,0,0,true
0.818422,0.69709654,0.66161036,0,0,true
2.021,0.76598454,0.793813107,0,0,true
3.59906,1.32122854,1.500180115,0,0,true
5.62931,2.4436228,2.211490125,0,0,true
8.09788,4.0331344,2.900060973,0,0,true
11.0302,6.07549,3.585034302,0,0,true
14.4147,8.55423,4.295132656,0,0,true
17.5091,11.336238,4.762635892,0,0,true
20.5268,14.315736,4.955834026,0,0,true
22.9357,17.2833,4.73948914,0,0,true
25.0371,20.08468,4.231800283,0,0,true
27.256,22.65294,3.805650231,0,0,true
30.5047,25.25206,3.851811782,0,0,true
31.4547,27.43764,3.591889379,0,0,true
33.9077,29.63204,3.504423386,0,0,true
35.4295,31.71052,3.163092094,0,0,true
34.4208,33.14348,2.07705343,0,0,true
33.9077,33.82408,1.462993022,0,0,true
32.921,34.11734,0.912822421,0,0,true
32.921,33.92,1.063666322,0,0,true
30.0217,32.83844,1.702559592,0,0,true
30.5047,32.05522,1.693380349,0,0,true
26.3472,30.54312,2.701283313,0,0,true
24.5998,28.87888,3.354399782,0,0,true
